ymin,lower,middle,upper,ymax,zeta_true,model_name
0.9862300935010709,0.9888379859332536,0.9901277084495497,0.9912352809872613,0.9929391018891341,0.001,Baseline
0.9772559759326669,0.9844564731461356,0.9880191973711774,0.9913147087275204,0.9960851466200261,0.001,Behavioral (Rational)
0.9432329235053798,0.9513888814023498,0.9553209899618724,0.9586413018781786,0.9641306310728092,0.005,Baseline
0.9371050839133749,0.9499440091886785,0.9548701079975465,0.9596483907640974,0.9681384242146645,0.005,Behavioral (Rational)
0.9233576172525492,0.9299787668824919,0.9328476563617575,0.9355053839711308,0.9406508730094278,0.009,Baseline
0.9058592367740147,0.9204818568554601,0.925945841450939,0.9304759791461495,0.9415118205623263,0.009,Behavioral (Rational)
0.91666645362263,0.9225556853342817,0.9249146798761705,0.9271394784109988,0.9316721956836103,0.012,Baseline
0.8854045649192479,0.9027620267246838,0.908771810088628,0.9143405786579099,0.9248512265251326,0.012,Behavioral (Rational)
0.9044701771748576,0.9131025167376321,0.9162792207216118,0.9196027912838047,0.9234330482021882,0.016,Baseline
0.8673030660234983,0.8857796789158756,0.8934603748745263,0.8986129146841569,0.9096592917104265,0.016,Behavioral (Rational)
0.8950405599805467,0.9045207131281741,0.908531693944046,0.9120438789567575,0.9168578978616596,0.02,Baseline
0.8526901045612785,0.8723760208692158,0.8804973581967469,0.8859383965112787,0.8963123458323844,0.02,Behavioral (Rational)
