ymin,lower,middle,upper,ymax,zeta_true,model_name
4.356827166389329,4.543750189417502,4.6421729067411235,4.752313816645756,4.964294861659632,0.001,Baseline
4.167709005981673,5.02920575542025,5.3970344652461435,5.714241767535034,5.998050104722411,0.001,Behavioral (Exponential)
2.8103554686744037,2.8890497888293387,2.9263914249638083,2.9677311564437194,3.04988791419205,0.005,Baseline
3.5643472497940545,4.647981257835274,5.183528775782013,5.608755302869807,5.994984581768337,0.005,Behavioral (Exponential)
2.5898541475419012,2.664919837771492,2.699827567844256,2.730004982161021,2.776863144988548,0.009,Baseline
3.906882390652349,4.9011607098334,5.314161343898381,5.673806527033989,5.997694330303851,0.009,Behavioral (Exponential)
2.479879869874082,2.5656561396194975,2.600682638451334,2.635119051822581,2.6869845041352622,0.012,Baseline
3.8358291558585633,4.758416283909605,5.187788532509944,5.585789087593843,5.999644683199147,0.012,Behavioral (Exponential)
2.377192597685278,2.4607787241127954,2.5024503582752864,2.536767801973312,2.5910252473409545,0.016,Baseline
4.129016160806252,4.934995996829517,5.307515250625566,5.645253265028901,5.999976159608738,0.016,Behavioral (Exponential)
2.2995233448094328,2.3864907081875733,2.426928810286441,2.4582441103773163,2.5212498752049637,0.02,Baseline
4.291485636973457,5.082709297908138,5.39001331321806,5.6927362196401115,5.997602743638802,0.02,Behavioral (Exponential)
