ymin,lower,middle,upper,ymax,zeta_true,model_name
4.328333853938439,4.5472759838138845,4.656266800413257,4.77858138523237,4.985185165995996,0.001,Baseline
4.072569455247758,5.0566415110005405,5.470036467627563,5.765648294002472,5.996292983498528,0.001,Behavioral (Rational)
3.0385629207182916,3.1730034330168606,3.2444435721090517,3.319011608072589,3.449206326598143,0.005,Baseline
3.35418568383425,4.684954366819017,5.210309886811691,5.636081431934757,5.999969786669142,0.005,Behavioral (Rational)
2.779104493497054,2.8575348547968997,2.8927789329923685,2.9258434326448137,3.0000749297398537,0.009,Baseline
3.7190583278099263,4.851762015656355,5.284709105991032,5.656629234081972,5.999276881751571,0.009,Behavioral (Rational)
2.6843238446057205,2.767697205021463,2.7955381630131013,2.823957159242346,2.877856906977144,0.012,Baseline
3.8221690609967593,4.820798435492807,5.278666729110018,5.683235514129148,5.997188118419524,0.012,Behavioral (Rational)
2.5939158096490464,2.673355610864783,2.7036150704808413,2.7380270587570874,2.78035327913114,0.016,Baseline
3.77485871923926,4.82246335114104,5.334807389549766,5.642979780046902,5.999460913656363,0.016,Behavioral (Rational)
2.5162156277133936,2.594380947182745,2.6316200530256633,2.6640243532203742,2.7115733851656723,0.02,Baseline
3.9694608210532327,4.976846152152057,5.391709487773208,5.6855265947135045,5.99998581858305,0.02,Behavioral (Rational)
