ymin,lower,middle,upper,ymax,zeta_true,model_name
3.567208346019818,3.7265966912459905,3.8163272302677123,3.9001943490093924,4.065372910575953,0.001,Baseline
3.4754309851566063,4.596840742412965,5.107882550868433,5.581855256426454,5.995384778945971,0.001,Behavioral (Mixed)
2.5898044112236955,2.6706609167491058,2.7012623304448513,2.73540575367478,2.782773970636475,0.005,Baseline
3.723321941703867,4.659896639232331,5.123499268815997,5.584836599397757,5.994694996767409,0.005,Behavioral (Mixed)
2.355238051736926,2.451572184821342,2.4933840760823465,2.532520944003276,2.590899254646206,0.009,Baseline
3.87551920268665,4.809758312531419,5.259401278696904,5.608589140454248,5.9964534796661475,0.009,Behavioral (Mixed)
2.2831138820563233,2.368719688227742,2.4070346437996313,2.439070208608068,2.503232790394239,0.012,Baseline
4.004430274771348,4.8400836353671295,5.26059513924327,5.6120742861722155,5.998509990386752,0.012,Behavioral (Mixed)
2.2416383828844015,2.3251531174083344,2.3669740961762553,2.4010937709450726,2.466966341982684,0.016,Baseline
4.053303227653503,4.808345240514983,5.178687641217351,5.553989068570626,5.998597436654129,0.016,Behavioral (Mixed)
2.192020169045618,2.27730673439998,2.316847086795152,2.3522450398065615,2.4188107655711,0.02,Baseline
4.410332203690756,5.0649742504436155,5.402420827001476,5.696653244184315,5.996192777436826,0.02,Behavioral (Mixed)
